CustomerID,recency_days,last_purchase_date,frequency,Monetary,,,,,,,,
12407,49,10/21/2011 10:11,5,1708.1,,,,,,,,
12408,32,11/7/2011 12:27,8,4340.8,,,,,,,,
12409,78,9/22/2011 10:38,7,23419.3,,,,,,,,
12410,308,2/4/2011 10:39,3,1013.7,,,,,,,,
12411,409,10/26/2010 9:25,1,346.9,,,,,,,,
12412,74,9/26/2011 10:16,6,2596.9,,,,,,,,
12413,66,10/4/2011 9:00,4,999.5,,,,,,,,
12414,217,5/6/2011 14:51,6,952.4,,,,,,,,
12415,24,11/15/2011 14:22,28,144458.4,,,,,,,,
12416,656,2/21/2010 10:19,1,202.6,,,,,,,,
12417,3,12/6/2011 14:52,20,6797.4,,,,,,,,
12418,112,8/19/2011 11:08,4,2021.2,,,,,,,,
12419,385,11/19/2010 10:04,2,503,,,,,,,,
12420,63,10/7/2011 8:55,1,600.4,,,,,,,,
12421,15,11/24/2011 9:07,6,1098.6,,,,,,,,
12422,95,9/5/2011 9:48,17,5231.8,,,,,,,,
12423,0,12/9/2011 10:10,10,2622.4,,,,,,,,
12424,162,6/30/2011 12:06,4,3340,,,,,,,,
12425,78,9/22/2011 17:31,2,1741.4,,,,,,,,
12426,194,5/29/2011 12:26,2,1345.2,,,,,,,,
12427,21,11/18/2011 8:56,3,825.8,,,,,,,,
12428,25,11/14/2011 8:22,9,7956.5,,,,,,,,
12429,9,11/30/2011 17:22,8,6204.4,,,,,,,,
12430,43,10/27/2011 15:09,1,256.4,,,,,,,,
12431,35,11/4/2011 11:55,27,10432.2,,,,,,,,
12432,42,10/28/2011 11:43,5,5059.3,,,,,,,,
12433,0,12/9/2011 10:02,10,16794.1,,,,,,,,
12434,84,9/16/2011 12:38,3,1103.4,,,,,,,,
12435,79,9/21/2011 9:06,6,13925.9,,,,,,,,
12436,99,9/1/2011 12:09,1,509,,,,,,,,
12437,1,12/8/2011 11:35,39,12683.4,,,,,,,,
12438,14,11/25/2011 13:28,2,2906.9,,,,,,,,
12439,682,1/26/2010 12:11,2,1142.9,,,,,,,,
12440,462,9/3/2010 13:11,2,859.2,,,,,,,,
12441,366,12/8/2010 10:45,1,173.6,,,,,,,,
12442,3,12/6/2011 14:22,1,172.1,,,,,,,,
12443,732,12/7/2009 15:42,1,485.3,,,,,,,,
12444,21,11/18/2011 13:23,5,5005.5,,,,,,,,
12445,22,11/17/2011 18:43,2,435,,,,,,,,
12446,57,10/13/2011 12:50,1,1002.3,,,,,,,,
12447,243,4/10/2011 13:25,1,476.5,,,,,,,,
12448,44,10/26/2011 13:46,1,449.5,,,,,,,,
12449,22,11/17/2011 13:46,6,4835.9,,,,,,,,
12450,156,7/6/2011 14:41,5,688.2,,,,,,,,
12451,10,11/29/2011 8:40,8,12669.9,,,,,,,,
12452,16,11/23/2011 10:28,2,430.6,,,,,,,,
12453,134,7/28/2011 14:08,1,707.1,,,,,,,,
12454,56,10/14/2011 17:13,5,16679.8,,,,,,,,
12455,73,9/27/2011 15:31,10,5880,,,,,,,,
12456,44,10/26/2011 14:41,3,3181,,,,,,,,
12457,66,10/4/2011 13:13,8,2995.9,,,,,,,,
12458,71,9/29/2011 15:25,4,1777.5,,,,,,,,
12459,605,4/13/2010 14:53,1,454.4,,,,,,,,
12460,456,9/9/2010 13:51,1,326.7,,,,,,,,
12461,94,9/6/2011 16:57,2,826.9,,,,,,,,
12462,18,11/21/2011 9:11,2,1189.6,,,,,,,,
12463,53,10/17/2011 13:44,4,1344.8,,,,,,,,
12464,10,11/29/2011 13:33,8,1212.1,,,,,,,,
12465,17,11/22/2011 16:34,2,742.2,,,,,,,,
12466,682,1/26/2010 16:26,1,56.7,,,,,,,,
12467,423,10/12/2010 15:41,1,132.8,,,,,,,,
12468,187,6/5/2011 11:36,5,3670.7,,,,,,,,
12469,522,7/5/2010 12:40,2,3070.5,,,,,,,,
12470,689,1/19/2010 11:01,1,212,,,,,,,,
12471,2,12/7/2011 15:43,79,39918.2,,,,,,,,
12472,32,11/7/2011 14:01,19,16249.3,,,,,,,,
12473,29,11/10/2011 13:46,5,2954.7,,,,,,,,
12474,17,11/22/2011 14:39,31,12372.8,,,,,,,,
12475,53,10/17/2011 10:10,2,1149.6,,,,,,,,
12476,15,11/24/2011 12:40,23,14034.4,,,,,,,,
12477,22,11/17/2011 9:51,9,20276.4,,,,,,,,
12478,3,12/6/2011 9:56,1,681,,,,,,,,
12479,11,11/28/2011 13:26,1,527.2,,,,,,,,
12480,28,11/11/2011 14:52,7,5464.9,,,,,,,,
12481,22,11/17/2011 8:29,15,12185.5,,,,,,,,
12482,576,5/12/2010 16:51,29,23691.4,,,,,,,,
12483,17,11/22/2011 17:02,19,5097.2,,,,,,,,
12484,32,11/7/2011 11:37,12,6171.9,,,,,,,,
12485,529,6/28/2010 15:22,1,708.1,,,,,,,,
12486,431,10/4/2010 12:14,1,1037.3,,,,,,,,
12487,730,12/9/2009 11:36,1,285.3,,,,,,,,
12488,9,11/30/2011 8:50,3,1298.7,,,,,,,,
12489,336,1/7/2011 13:13,1,334.9,,,,,,,,
12490,5,12/4/2011 16:07,21,9823.6,,,,,,,,
12491,38,11/1/2011 12:18,1,413.6,,,,,,,,
12492,63,10/7/2011 15:15,3,715.2,,,,,,,,
12493,165,6/27/2011 10:17,2,433.7,,,,,,,,
12494,15,11/24/2011 9:34,9,1815.3,,,,,,,,
12495,640,3/9/2010 10:53,1,357.4,,,,,,,,
12496,620,3/29/2010 14:06,2,45.3,,,,,,,,
12497,81,9/19/2011 12:29,3,6248.5,,,,,,,,
12498,21,11/18/2011 12:53,3,403.7,,,,,,,,
12499,560,5/28/2010 15:12,1,393.7,,,,,,,,
12500,23,11/16/2011 16:20,19,5955.2,,,,,,,,
12501,336,1/7/2011 12:28,1,2169.4,,,,,,,,
12502,95,9/5/2011 11:52,5,3723.9,,,,,,,,
12503,584,5/4/2010 13:59,1,1126,,,,,,,,
12504,18,11/21/2011 16:02,4,779.1,,,,,,,,
12505,408,10/27/2010 9:18,1,955.2,,,,,,,,
12506,232,4/21/2011 8:54,1,73.5,,,,,,,,
12507,134,7/28/2011 17:09,4,1844.1,,,,,,,,
12508,26,11/13/2011 15:37,2,390.4,,,,,,,,
12509,284,2/28/2011 14:45,1,176.5,,,,,,,,
12510,142,7/20/2011 10:15,9,5178,,,,,,,,
12511,428,10/7/2010 10:39,1,3084,,,,,,,,
12512,66,10/4/2011 14:55,2,132.2,,,,,,,,
12513,112,8/19/2011 10:51,1,612.3,,,,,,,,
12514,267,3/17/2011 16:38,2,1597.8,,,,,,,,
12515,353,12/21/2010 15:43,1,383.7,,,,,,,,
12516,77,9/23/2011 9:13,4,2648.6,,,,,,,,
12517,28,11/11/2011 14:04,5,2448.5,,,,,,,,
12518,0,12/9/2011 10:13,5,2056.9,,,,,,,,
12519,63,10/7/2011 9:26,2,716.5,,,,,,,,
12520,79,9/21/2011 15:23,5,2634.3,,,,,,,,
12521,142,7/20/2011 10:51,1,599.7,,,,,,,,
12522,39,10/31/2011 15:30,2,192.7,,,,,,,,
12523,19,11/20/2011 12:55,23,4352.4,,,,,,,,
12524,9,11/30/2011 15:31,17,11126.1,,,,,,,,
12525,498,7/29/2010 16:08,3,973.7,,,,,,,,
12526,0,12/9/2011 12:09,3,1316.7,,,,,,,,
12527,81,9/19/2011 11:55,5,735.5,,,,,,,,
12528,9,11/30/2011 14:40,6,1933.5,,,,,,,,
12529,528,6/29/2010 13:10,1,316.5,,,,,,,,
12530,59,10/11/2011 12:34,9,3759.3,,,,,,,,
12531,14,11/25/2011 11:12,2,1933.2,,,,,,,,
12532,30,11/9/2011 13:47,1,349.8,,,,,,,,
12533,627,3/22/2010 10:56,2,1367.9,,,,,,,,
12534,130,8/1/2011 10:26,1,1089.2,,,,,,,,
12535,91,9/9/2011 8:48,2,716.4,,,,,,,,
12536,43,10/27/2011 14:20,3,12601.8,,,,,,,,
12537,408,10/27/2010 8:36,1,732.9,,,,,,,,
12538,29,11/10/2011 17:16,2,640.5,,,,,,,,
12539,22,11/17/2011 13:30,7,11214.8,,,,,,,,
12540,19,11/20/2011 11:31,33,22254.5,,,,,,,,
12541,29,11/10/2011 10:40,3,981.2,,,,,,,,
12542,484,8/12/2010 19:12,2,481.9,,,,,,,,
12543,448,9/17/2010 15:51,1,980.3,,,,,,,,
12544,36,11/3/2011 16:15,1,372.7,,,,,,,,
12545,75,9/25/2011 13:39,2,1000.4,,,,,,,,
12546,46,10/24/2011 12:09,2,1161.5,,,,,,,,
12547,197,5/26/2011 12:38,3,383.6,,,,,,,,
12548,166,6/26/2011 15:35,1,95.2,,,,,,,,
12549,575,5/13/2010 12:05,6,1575.7,,,,,,,,
12550,79,9/21/2011 14:35,1,964.8,,,,,,,,
12551,357,12/17/2010 11:23,1,168,,,,,,,,
12552,38,11/1/2011 10:02,2,437.8,,,,,,,,
12553,8,12/1/2011 16:38,12,4608.8,,,,,,,,
12554,448,9/17/2010 12:29,1,468.5,,,,,,,,
12555,682,1/26/2010 16:26,1,129.2,,,,,,,,
12556,50,10/20/2011 13:06,2,585.1,,,,,,,,
12557,16,11/23/2011 16:59,8,18096.1,,,,,,,,
12558,7,12/2/2011 10:41,1,270,,,,,,,,
12559,310,2/2/2011 9:49,2,561.7,,,,,,,,
12560,5,12/4/2011 13:54,3,2134,,,,,,,,
12561,302,2/10/2011 11:39,1,238.9,,,,,,,,
12562,8,12/1/2011 17:20,9,4966.9,,,,,,,,
12563,408,10/27/2010 9:52,1,249.2,,,,,,,,
12564,261,3/23/2011 14:55,1,456.9,,,,,,,,
12565,288,2/24/2011 10:34,1,145.9,,,,,,,,
12566,86,9/14/2011 14:30,1,351.7,,,,,,,,
12567,22,11/17/2011 11:02,15,11767.5,,,,,,,,
12568,644,3/5/2010 9:15,1,70,,,,,,,,
12569,2,12/7/2011 16:24,32,4124.7,,,,,,,,
12570,682,1/26/2010 17:28,1,77.5,,,,,,,,
12571,39,10/31/2011 10:19,2,519.6,,,,,,,,
12572,8,12/1/2011 9:20,2,1020.4,,,,,,,,
12573,227,4/26/2011 15:52,5,714.1,,,,,,,,
12574,315,1/28/2011 9:20,1,218.5,,,,,,,,
12575,457,9/8/2010 13:09,2,622.8,,,,,,,,
12576,35,11/4/2011 10:11,8,2142.7,,,,,,,,
12577,35,11/4/2011 13:24,8,1607.6,,,,,,,,
12578,21,11/18/2011 13:30,4,4642.5,,,,,,,,
12579,78,9/22/2011 17:15,1,440.4,,,,,,,,
12580,246,4/7/2011 10:24,2,1052.9,,,,,,,,
12581,39,10/31/2011 8:56,1,197.7,,,,,,,,
12582,238,4/15/2011 8:45,4,1980.4,,,,,,,,
12583,2,12/7/2011 8:07,27,13591.6,,,,,,,,
12584,3,12/6/2011 9:35,9,2338.2,,,,,,,,
12585,234,4/19/2011 13:39,2,2040.1,,,,,,,,
12586,17,11/22/2011 16:24,4,2062.7,,,,,,,,
12587,7,12/2/2011 12:47,1,144,,,,,,,,
12588,39,10/31/2011 15:01,4,958.8,,,,,,,,
12589,28,11/11/2011 10:19,8,4695.7,,,,,,,,
12590,211,5/12/2011 14:52,2,9864.3,,,,,,,,
12591,317,1/26/2011 14:35,3,1339,,,,,,,,
12592,92,9/8/2011 15:04,5,2582.7,,,,,,,,
12593,108,8/23/2011 12:43,3,418.1,,,,,,,,
12594,37,11/2/2011 12:20,15,5090.1,,,,,,,,
12595,504,7/23/2010 9:10,1,299,,,,,,,,
12596,51,10/19/2011 13:02,2,618.3,,,,,,,,
12597,19,11/20/2011 13:33,4,3811.2,,,,,,,,
12598,9,11/30/2011 12:18,11,4534.1,,,,,,,,
12599,29,11/10/2011 13:34,13,2296.7,,,,,,,,
12600,28,11/11/2011 10:29,21,4967.4,,,,,,,,
12601,189,6/3/2011 10:17,6,681.3,,,,,,,,
12602,58,10/12/2011 11:22,1,153.1,,,,,,,,
12603,21,11/18/2011 10:42,1,739.2,,,,,,,,
12604,79,9/21/2011 14:08,2,254.2,,,,,,,,
12605,376,11/28/2010 14:18,4,1233,,,,,,,,
12606,682,1/26/2010 16:23,1,21,,,,,,,,
12607,60,10/10/2011 16:06,1,1579.5,,,,,,,,
12608,404,10/31/2010 10:49,1,415.8,,,,,,,,
12609,78,9/22/2011 16:34,9,3435.9,,,,,,,,
12610,22,11/17/2011 9:34,5,2099.5,,,,,,,,
12611,52,10/18/2011 13:12,1,1193.3,,,,,,,,
12612,74,9/26/2011 15:35,1,704,,,,,,,,
12613,57,10/13/2011 14:59,10,6755.9,,,,,,,,
12614,277,3/7/2011 10:22,1,315.6,,,,,,,,
12615,2,12/7/2011 15:02,8,5741,,,,,,,,
12616,95,9/5/2011 15:17,3,1131.1,,,,,,,,
12617,29,11/10/2011 14:39,1,341.6,,,,,,,,
12618,21,11/18/2011 11:10,1,177.3,,,,,,,,
12619,16,11/23/2011 14:52,10,3781.4,,,,,,,,
12620,14,11/25/2011 10:20,3,1339.4,,,,,,,,
12621,1,12/8/2011 11:25,35,24311.2,,,,,,,,
12622,232,4/21/2011 16:39,1,180.1,,,,,,,,
12623,276,3/8/2011 13:50,7,3747.8,,,,,,,,
12624,106,8/25/2011 15:04,2,641.1,,,,,,,,
12625,211,5/12/2011 9:54,4,5164.9,,,,,,,,
12626,23,11/16/2011 16:06,9,6620.5,,,,,,,,
12627,10,11/29/2011 12:07,7,4478.5,,,,,,,,
12628,4,12/5/2011 13:15,3,786.5,,,,,,,,
12629,385,11/19/2010 9:18,2,1558.2,,,,,,,,
12630,9,11/30/2011 10:48,2,1270.9,,,,,,,,
12631,57,10/13/2011 13:53,6,3481.6,,,,,,,,
12632,520,7/7/2010 9:39,2,804.9,,,,,,,,
12633,58,10/12/2011 11:40,7,5678.2,,,,,,,,
12634,535,6/22/2010 10:05,2,490,,,,,,,,
12635,89,9/11/2011 11:04,4,2930.4,,,,,,,,
12636,738,12/1/2009 9:55,1,141,,,,,,,,
12637,67,10/3/2011 13:46,12,8195.3,,,,,,,,
12638,33,11/6/2011 13:11,2,921.5,,,,,,,,
12639,238,4/15/2011 12:48,3,1312.4,,,,,,,,
12640,23,11/16/2011 11:52,3,1174.6,,,,,,,,
12641,115,8/16/2011 13:26,1,185.9,,,,,,,,
12642,25,11/14/2011 15:03,3,1013.3,,,,,,,,
12643,128,8/3/2011 12:56,12,8304.8,,,,,,,,
12644,129,8/2/2011 10:33,4,1918.5,,,,,,,,
12645,33,11/6/2011 12:38,8,3539.3,,,,,,,,
12646,4,12/5/2011 10:14,2,1347,,,,,,,,
12647,22,11/17/2011 12:56,36,16955.6,,,,,,,,
12648,154,7/8/2011 11:55,4,1112,,,,,,,,
12649,107,8/24/2011 14:41,8,2294.7,,,,,,,,
12650,3,12/6/2011 16:34,1,314.4,,,,,,,,
12651,334,1/9/2011 12:46,4,377.8,,,,,,,,
12652,331,1/12/2011 15:00,2,1017,,,,,,,,
12653,148,7/14/2011 10:41,3,4160.8,,,,,,,,
12654,10,11/29/2011 10:10,5,602,,,,,,,,
12655,423,10/12/2010 9:17,1,261.4,,,,,,,,
12656,17,11/22/2011 13:42,8,6407.8,,,,,,,,
12657,11,11/28/2011 15:47,4,1643.2,,,,,,,,
12658,18,11/21/2011 10:22,1,686.1,,,,,,,,
12659,29,11/10/2011 11:53,1,91.7,,,,,,,,
12660,11,11/28/2011 13:26,1,245.1,,,,,,,,
12661,436,9/29/2010 16:46,1,162,,,,,,,,
12662,0,12/9/2011 11:59,20,6726.5,,,,,,,,
12663,624,3/25/2010 9:40,2,239.4,,,,,,,,
12664,8,12/1/2011 17:07,11,6070,,,,,,,,
12665,324,1/19/2011 8:34,3,313.6,,,,,,,,
12666,394,11/10/2010 16:40,1,1248.4,,,,,,,,
12667,58,10/12/2011 17:00,1,620.1,,,,,,,,
12668,11,11/28/2011 10:56,10,11308,,,,,,,,
12669,150,7/12/2011 9:54,3,2744,,,,,,,,
12670,10,11/29/2011 15:23,7,3760.3,,,,,,,,
12671,606,4/12/2010 16:30,1,2622.5,,,,,,,,
12672,329,1/14/2011 9:20,2,437.1,,,,,,,,
12673,5,12/4/2011 13:55,3,1230,,,,,,,,
12674,38,11/1/2011 12:12,4,1970.6,,,,,,,,
12675,553,6/4/2010 9:49,2,957.3,,,,,,,,
12676,24,11/15/2011 12:25,11,2843.1,,,,,,,,
12677,555,6/2/2010 14:30,2,395.1,,,,,,,,
12678,42,10/28/2011 13:04,21,34281.2,,,,,,,,
12679,58,10/12/2011 12:30,4,1113,,,,,,,,
12680,0,12/9/2011 12:50,4,880.8,,,,,,,,
12681,14,11/25/2011 11:33,45,29834.8,,,,,,,,
12682,3,12/6/2011 10:00,52,22950.2,,,,,,,,
12683,4,12/5/2011 16:31,21,11633.7,,,,,,,,
12684,7,12/2/2011 9:53,7,2283.6,,,,,,,,
12685,28,11/11/2011 13:46,6,2863.1,,,,,,,,
12686,371,12/3/2010 9:51,1,89.1,,,,,,,,
12687,480,8/16/2010 12:12,2,2138.9,,,,,,,,
12688,113,8/18/2011 8:49,1,4873.8,,,,,,,,
12689,25,11/14/2011 8:31,2,1247.6,,,,,,,,
12690,205,5/18/2011 9:09,1,389,,,,,,,,
12691,28,11/11/2011 16:49,7,1170.4,,,,,,,,
12692,637,3/12/2010 14:02,1,111,,,,,,,,
12693,127,8/4/2011 17:51,7,1703,,,,,,,,
12694,70,9/30/2011 13:06,3,1843.4,,,,,,,,
12695,7,12/2/2011 13:22,7,1407.1,,,,,,,,
12696,434,10/1/2010 10:43,2,851.9,,,,,,,,
12697,28,11/11/2011 8:47,3,957.6,,,,,,,,
12698,590,4/28/2010 15:51,1,339.8,,,,,,,,
12699,417,10/18/2010 12:07,1,638.1,,,,,,,,
12700,7,12/2/2011 10:47,4,4940,,,,,,,,
12701,79,9/21/2011 10:47,6,2446.4,,,,,,,,
12702,19,11/20/2011 10:36,1,219,,,,,,,,
12703,71,9/29/2011 17:52,4,1006.5,,,,,,,,
12704,7,12/2/2011 13:15,8,2340.8,,,,,,,,
12705,15,11/24/2011 13:17,14,11762.1,,,,,,,,
12707,291,2/21/2011 8:38,1,603.4,,,,,,,,
12708,29,11/10/2011 9:52,18,5117.7,,,,,,,,
12709,15,11/24/2011 15:38,34,30291.8,,,,,,,,
12710,96,9/4/2011 12:00,3,1149,,,,,,,,
12711,611,4/7/2010 11:59,2,1339.1,,,,,,,,
12712,28,11/11/2011 8:19,21,6723,,,,,,,,
12713,0,12/9/2011 12:16,1,848.6,,,,,,,,
12714,9,11/30/2011 15:43,12,14093.7,,,,,,,,
12715,106,8/25/2011 15:22,1,343.4,,,,,,,,
12716,3,12/6/2011 8:55,2,1053.5,,,,,,,,
12717,151,7/11/2011 14:47,3,1308.9,,,,,,,,
12718,71,9/29/2011 16:38,1,238.3,,,,,,,,
12719,5,12/4/2011 13:45,2,645,,,,,,,,
12720,2,12/7/2011 8:03,30,7787.3,,,,,,,,
12721,31,11/8/2011 12:13,8,4013.1,,,,,,,,
12722,85,9/15/2011 14:50,4,997.6,,,,,,,,
12723,3,12/6/2011 10:19,5,725.1,,,,,,,,
12724,5,12/4/2011 16:02,7,2317.5,,,,,,,,
12725,371,12/3/2010 15:45,4,2266.8,,,,,,,,
12726,28,11/11/2011 13:35,11,4014.6,,,,,,,,
12727,10,11/29/2011 11:46,10,5679.5,,,,,,,,
12728,71,9/29/2011 15:31,5,1070.2,,,,,,,,
12729,113,8/18/2011 11:40,1,453,,,,,,,,
12730,521,7/6/2010 12:19,1,829.3,,,,,,,,
12731,23,11/16/2011 11:59,17,25775.7,,,,,,,,
12732,179,6/13/2011 11:33,1,236.3,,,,,,,,
12733,234,4/19/2011 16:19,4,2341.6,,,,,,,,
12734,352,12/22/2010 12:47,3,639.7,,,,,,,,
12735,315,1/28/2011 13:37,2,779.6,,,,,,,,
12736,332,1/11/2011 7:57,1,234,,,,,,,,
12737,498,7/29/2010 12:29,2,3710.5,,,,,,,,
12738,372,12/2/2010 18:27,1,155.4,,,,,,,,
12739,78,9/22/2011 13:00,4,2726.7,,,,,,,,
12740,63,10/7/2011 10:44,1,427.6,,,,,,,,
12741,529,6/28/2010 14:36,2,406.1,,,,,,,,
12742,625,3/24/2010 12:43,1,1201.5,,,,,,,,
12743,134,7/28/2011 16:21,2,530.6,,,,,,,,
12744,51,10/19/2011 11:18,11,19323.2,,,,,,,,
12745,486,8/10/2010 10:14,3,925.4,,,,,,,,
12746,540,6/17/2010 10:41,1,254.6,,,,,,,,
12747,2,12/7/2011 14:34,26,8846.7,,,,,,,,
12748,0,12/9/2011 12:20,336,52521.1,,,,,,,,
12749,3,12/6/2011 9:56,9,6897.4,,,,,,,,
12750,128,8/3/2011 9:13,1,275.9,,,,,,,,
12751,444,9/21/2010 12:49,1,266.3,,,,,,,,
12752,81,9/19/2011 13:32,1,4366.8,,,,,,,,
12753,22,11/17/2011 10:52,6,21429.4,,,,,,,,
12754,235,4/18/2011 9:00,3,3010.7,,,,,,,,
12755,280,3/4/2011 12:42,11,5236.3,,,,,,,,
12756,86,9/14/2011 9:31,1,112.1,,,,,,,,
12757,15,11/24/2011 12:30,13,7732,,,,,,,,
12758,116,8/15/2011 10:22,7,9903.2,,,,,,,,
12759,52,10/18/2011 14:49,8,5020.7,,,,,,,,
12760,455,9/10/2010 8:50,1,347.8,,,,,,,,
12761,457,9/8/2010 12:17,2,783,,,,,,,,
12762,7,12/2/2011 10:23,2,1898.5,,,,,,,,
12763,138,7/24/2011 14:12,2,494.1,,,,,,,,
12764,316,1/27/2011 10:19,1,1693.9,,,,,,,,
12765,472,8/24/2010 13:51,6,1404.6,,,,,,,,
12766,3,12/6/2011 8:46,9,8919,,,,,,,,
12767,375,11/29/2010 9:38,1,949.8,,,,,,,,
12768,450,9/15/2010 12:08,1,168.7,,,,,,,,
12769,238,4/15/2011 10:25,1,1143.6,,,,,,,,
12770,210,5/13/2011 9:33,2,3246.5,,,,,,,,
12771,485,8/11/2010 11:51,1,282.3,,,,,,,,
12772,59,10/11/2011 9:19,1,892.5,,,,,,,,
12773,564,5/24/2010 17:30,1,124.3,,,,,,,,
12774,535,6/22/2010 10:38,1,98.7,,,,,,,,
12775,17,11/22/2011 16:33,7,1686.1,,,,,,,,
12776,667,2/10/2010 12:11,1,55.5,,,,,,,,
12777,457,9/8/2010 11:35,1,519.5,,,,,,,,
12778,19,11/20/2011 11:30,9,1775.7,,,,,,,,
12779,37,11/2/2011 11:43,14,6474.1,,,,,,,,
12780,598,4/20/2010 9:40,1,337.4,,,,,,,,
12781,63,10/7/2011 10:37,2,826.7,,,,,,,,
12782,4,12/5/2011 9:16,11,4618.2,,,,,,,,
12783,2,12/7/2011 15:56,6,2225.9,,,,,,,,
12784,9,11/30/2011 15:38,3,1743,,,,,,,,
12785,364,12/10/2010 13:48,3,1100.4,,,,,,,,
12786,609,4/9/2010 12:12,1,728.5,,,,,,,,
12787,9,11/30/2011 8:44,4,862.2,,,,,,,,
12788,463,9/2/2010 14:21,4,444.9,,,,,,,,
12789,65,10/5/2011 13:34,3,273.4,,,,,,,,
12790,192,5/31/2011 14:14,2,591.9,,,,,,,,
12791,373,12/1/2010 11:27,6,863.5,,,,,,,,
12792,256,3/28/2011 11:36,2,827,,,,,,,,
12793,334,1/9/2011 12:12,3,885.5,,,,,,,,
12794,53,10/17/2011 14:54,2,860.4,,,,,,,,
12795,18,11/21/2011 10:27,1,430.5,,,,,,,,
12796,628,3/21/2010 15:49,1,381,,,,,,,,
12797,365,12/9/2010 10:55,2,552.1,,,,,,,,
12798,10,11/29/2011 15:52,4,8510.9,,,,,,,,
12799,529,6/28/2010 15:57,1,219.4,,,,,,,,
12800,470,8/26/2010 14:11,3,584.3,,,,,,,,
12801,500,7/27/2010 9:38,1,1071.8,,,,,,,,
12802,186,6/6/2011 9:36,7,2416.4,,,,,,,,
12803,393,11/11/2010 14:57,1,1092.8,,,,,,,,
12804,465,8/31/2010 11:58,2,315.3,,,,,,,,
12805,381,11/23/2010 12:27,4,1435,,,,,,,,
